"[[ 9.86265120e-01  9.86265120e-01  9.86265120e-01  9.86265120e-01
   9.86265120e-01  8.20766930e-01  1.12603456e+00  7.51777618e-01
   1.22616543e+00  7.56893384e-01  1.24931798e+00  8.75796761e-01
   1.13254940e+00  9.08941534e-01  1.12931899e+00  9.35675830e-01
   1.14998851e+00]
 [-8.16868149e-01 -8.16868149e-01 -8.16868149e-01 -8.16868149e-01
  -8.16868149e-01 -9.84537320e-01 -1.07957398e+00 -9.17856159e-01
  -1.15310145e+00 -6.50292368e-01 -1.00754355e+00 -1.04621853e+00
  -1.11423447e+00 -1.00697752e+00 -1.10161141e+00 -1.05044494e+00
  -1.12990510e+00]
 [ 1.51063240e+00  1.51063240e+00  1.51063240e+00  1.51063240e+00
   1.51063240e+00  1.39240562e+00  1.40098971e+00  1.12645261e+00
   1.08546248e+00  1.06420087e+00  9.03274441e-01  8.37720153e-01
   8.23936691e-01  4.11919635e-01  4.83931262e-01 -1.15099387e-02
   1.44786023e-03]]","[[ 0.44356658  0.44356658  0.44356658  0.44356658  0.44356658  0.53458448
   0.18221284  0.630643    0.07483577  0.58411838  0.18725793  0.50240601
   0.27346336  0.52541646  0.32458413  0.45585662  0.34080856]
 [ 0.14795275  0.14795275  0.14795275  0.14795275  0.14795275  0.39127758
   0.28021174  0.43081408  0.29775633  0.20775751  0.16954077  0.39159468
   0.30537751  0.358149    0.31613639  0.52900722  0.33774456]
 [ 1.46450044  1.46450044  1.46450044  1.46450044  1.46450044  1.33092591
   1.30589874  1.05548453  1.00478041  0.90831343  0.91114291  0.78139297
   0.786388    0.37253975  0.36273064 -0.00432832 -0.03747717]]","[[ 1.38382889  1.38382889  1.38382889  1.38382889  1.38382889  1.40954998
   1.68663288  1.3384949   1.78438096  1.28493357  1.79435472  1.44831657
   1.62452126  1.46270992  1.6132454   1.51069931  1.72810568]
 [-0.22755124 -0.22755124 -0.22755124 -0.22755124 -0.22755124 -0.45806835
  -0.28203465 -0.46465565 -0.33346175 -0.34153991 -0.21837825 -0.39961768
  -0.27955345 -0.49900671 -0.19274815 -0.56222714 -0.13230424]
 [ 1.41765764  1.41765764  1.41765764  1.41765764  1.41765764  1.27493352
   1.28192503  0.99370074  1.00101315  0.79392423  0.77064751  0.72051555
   0.73473833  0.32993932  0.36295535 -0.02381413 -0.02195671]]","[[-0.48020808 -0.48020808 -0.48020808 -0.48020808 -0.48020808 -0.64231043
  -0.75954455 -0.64629571 -0.69083133 -0.52101342 -0.56551062 -0.6368847
  -0.71046287 -0.60099587 -0.7274274  -0.63012331 -0.76825117]
 [ 0.23142427  0.23142427  0.23142427  0.23142427  0.23142427  0.48371638
   0.20193978  0.60923768  0.12337417  0.62527497  0.05958507  0.45620598
   0.21468595  0.52780003  0.27197323  0.5786038   0.33223255]
 [ 1.54917001  1.54917001  1.54917001  1.54917001  1.54917001  1.38074087
   1.34971856  1.09662386  1.03487663  0.85710261  0.85571659  0.77508954
   0.71212777  0.34706382  0.31504558 -0.02017602 -0.02533785]]"
"[[ 1.05669506  1.05669506  1.05669506  1.05669506  1.05669506  0.96215054
   1.31550304  0.84378919  1.35610557  0.7677344   1.16900861  1.03079666
   1.26600282  0.96835199  1.27548873  0.97528844  1.28880731]
 [-0.77027297 -0.77027297 -0.77027297 -0.77027297 -0.77027297 -0.98494987
  -0.96743378 -0.86323923 -0.92581957 -0.62662712 -0.74271364 -0.94845975
  -0.97941    -0.86223019 -0.97894316 -1.01096569 -1.0086559 ]
 [ 1.50975901  1.50975901  1.50975901  1.50975901  1.50975901  1.38753123
   1.36578218  1.14756025  1.09706516  1.02512447  0.98573766  0.83713346
   0.82224183  0.42585468  0.42595961  0.01070196 -0.00958109]]","[[ 0.56550681  0.56550681  0.56550681  0.56550681  0.56550681  0.61501933
   0.31774795  0.64471891  0.17372965  0.5939154   0.26758612  0.51349211
   0.34015872  0.54412794  0.34023772  0.47021698  0.33930733]
 [ 0.22509419  0.22509419  0.22509419  0.22509419  0.22509419  0.4675474
   0.34620712  0.56285731  0.4048579   0.33873736  0.27203789  0.47702715
   0.373194    0.48591777  0.32957191  0.55329419  0.35223701]
 [ 1.46855309  1.46855309  1.46855309  1.46855309  1.46855309  1.30330229
   1.31965607  1.02034     1.03627554  0.90822096  0.9250525   0.77286639
   0.76037089  0.33758972  0.34127372 -0.04480155 -0.06200421]]","[[ 1.44245476  1.44245476  1.44245476  1.44245476  1.44245476  1.54868026
   1.73558152  1.49917135  1.83146932  1.43131884  1.80018088  1.52380896
   1.68672694  1.4402993   1.6798194   1.51220513  1.7161367 ]
 [-0.05334562 -0.05334562 -0.05334562 -0.05334562 -0.05334562 -0.29606644
  -0.0345061  -0.41881741 -0.00840955 -0.40736377  0.07424784 -0.26733261
  -0.12283274 -0.26468467 -0.10901681 -0.4479985  -0.12664749]
 [ 1.46148804  1.46148804  1.46148804  1.46148804  1.46148804  1.31097472
   1.30637538  1.03195885  1.01975945  0.80849107  0.79348008  0.77618583
   0.76272581  0.4228879   0.3801817   0.0464584  -0.0102042 ]]","[[-0.49824127 -0.49824127 -0.49824127 -0.49824127 -0.49824127 -0.6330263
  -0.79638791 -0.63715904 -0.83809602 -0.47446636 -0.73977533 -0.63901045
  -0.7649841  -0.54109372 -0.74798741 -0.62533393 -0.79390801]
 [ 0.18551551  0.18551551  0.18551551  0.18551551  0.18551551  0.42075429
   0.15018998  0.52772319  0.1307347   0.39291522  0.08934316  0.38162038
   0.20557072  0.43917884  0.26714433  0.5472779   0.33607016]
 [ 1.49264507  1.49264507  1.49264507  1.49264507  1.49264507  1.37641617
   1.34303837  1.08948865  1.02934109  0.81359401  0.77285398  0.74742
   0.72524903  0.36683944  0.35027832 -0.0191092  -0.03163223]]"
"[[ 0.99337555  0.99337555  0.99337555  0.99337555  0.99337555  0.98389617
   1.29306118  0.85650608  1.18187535  0.76049971  0.94733239  1.03338998
   1.25770651  0.9767322   1.26309098  0.96330935  1.28468679]
 [-0.74301235 -0.74301235 -0.74301235 -0.74301235 -0.74301235 -0.98942175
  -0.84090233 -0.87049903 -0.72504705 -0.64183563 -0.64068553 -0.96861184
  -0.90820493 -0.90016444 -0.9237571  -0.92093189 -0.98573362]
 [ 1.51407906  1.51407906  1.51407906  1.51407906  1.51407906  1.38297691
   1.37588992  1.15085485  1.12116215  1.02217174  1.02085194  0.82769554
   0.83301708  0.41259163  0.39108496 -0.01878835 -0.01840931]]","[[ 1.39902534  1.39902534  1.39902534  1.39902534  1.39902534  1.52289191
   1.67772594  1.581775    1.74524262  1.54121503  1.70980928  1.52734264
   1.6535014   1.52208611  1.69162574  1.60596734  1.69987938]
 [-0.0485102  -0.0485102  -0.0485102  -0.0485102  -0.0485102  -0.28181743
   0.02537731 -0.35322611  0.09713062 -0.36594616  0.176461   -0.20677771
  -0.02810736 -0.13398816 -0.07426735 -0.08378315 -0.0808248 ]
 [ 1.42346176  1.42346176  1.42346176  1.42346176  1.42346176  1.29738627
   1.27501573  1.01704586  1.00137093  0.80764004  0.77097702  0.73994899
   0.73271572  0.35469779  0.32030709 -0.02689619 -0.03418788]]","[[ 0.52108939  0.52108939  0.52108939  0.52108939  0.52108939  0.64294302
   0.32837277  0.68870115  0.18962434  0.64058481  0.25531183  0.55786311
   0.32365553  0.49082078  0.33538857  0.49547589  0.31396224]
 [ 0.21760182  0.21760182  0.21760182  0.21760182  0.21760182  0.50112035
   0.40616015  0.60523228  0.4956535   0.38860191  0.26278543  0.52146018
   0.47218119  0.54011484  0.3670806   0.54100034  0.39105189]
 [ 1.45490096  1.45490096  1.45490096  1.45490096  1.45490096  1.30673954
   1.31941387  1.02633994  1.05508315  0.89534361  0.96246756  0.77069378
   0.77002565  0.36334001  0.34046816 -0.05587386 -0.06183654]]","[[-0.47249002 -0.47249002 -0.47249002 -0.47249002 -0.47249002 -0.59060778
  -0.71412451 -0.55430534 -0.77956288 -0.48328503 -0.66172024 -0.59064896
  -0.66131211 -0.4256965  -0.67935544 -0.42666052 -0.64345895]
 [ 0.1102973   0.1102973   0.1102973   0.1102973   0.1102973   0.35635796
   0.07771622  0.47689642  0.06484724  0.47509658 -0.00684618  0.37408663
   0.14194359  0.31105898  0.24025389  0.28789174  0.30344488]
 [ 1.52528933  1.52528933  1.52528933  1.52528933  1.52528933  1.37680566
   1.35663196  1.10458865  1.03472327  0.84503457  0.79736242  0.8122368
   0.76938776  0.42349441  0.35287301 -0.0045528  -0.07300592]]"
"[[-0.29396885 -0.29396885 -0.29396885 -0.29396885 -0.29396885 -0.40257205
  -0.54134281 -0.41726032 -0.57014595 -0.34175279 -0.4607723  -0.44983214
  -0.56821951 -0.34263495 -0.60559103 -0.31128959 -0.73202441]
 [ 0.06322924  0.06322924  0.06322924  0.06322924  0.06322924  0.32201495
   0.02427575  0.40090247 -0.00865074  0.39291895 -0.06714213  0.2613229
   0.08119843  0.19053408  0.18212314  0.15356005  0.32051829]
 [ 1.52295782  1.52295782  1.52295782  1.52295782  1.52295782  1.35816401
   1.35497043  1.06089861  1.04177528  0.80926339  0.80463165  0.77719758
   0.77382927  0.36054933  0.37137319 -0.02986385  0.00575663]]","[[ 0.42956515  0.42956515  0.42956515  0.42956515  0.42956515  0.58692941
   0.24389321  0.65032859  0.13868737  0.60563276  0.21922631  0.48687294
   0.28198611  0.48767374  0.22685583  0.48087508  0.17016391]
 [ 0.28075224  0.28075224  0.28075224  0.28075224  0.28075224  0.49209628
   0.47954258  0.56037776  0.56647886  0.34871229  0.35898435  0.50257977
   0.504452    0.49708744  0.47474912  0.56049154  0.56272635]
 [ 1.46586018  1.46586018  1.46586018  1.46586018  1.46586018  1.3197352
   1.32073821  1.04427638  1.04617116  0.91864609  0.93332434  0.78881759
   0.76788248  0.37101698  0.36450936 -0.04162792 -0.03879712]]","[[ 0.95199495  0.95199495  0.95199495  0.95199495  0.95199495  0.95775701
   1.24202299  0.84056607  1.18513765  0.77136838  0.94113379  1.03057248
   1.24914079  0.9632148   1.24522492  0.96128514  1.30880839]
 [-0.74473828 -0.74473828 -0.74473828 -0.74473828 -0.74473828 -0.98395308
  -0.78821079 -0.8738286  -0.7217898  -0.64078315 -0.62931812 -0.95328028
  -0.88609418 -0.87745297 -0.91316404 -0.92434159 -0.96590888]
 [ 1.49330319  1.49330319  1.49330319  1.49330319  1.49330319  1.3764094
   1.37980828  1.13504568  1.12282291  1.01509413  1.01817789  0.84958389
   0.84410059  0.42128165  0.39668247 -0.01633176 -0.0224115 ]]","[[ 1.32114988  1.32114988  1.32114988  1.32114988  1.32114988  1.46514058
   1.61786838  1.45451915  1.70010867  1.3973209   1.61594299  1.44984426
   1.55744226  1.47396885  1.47943333  1.56314305  1.51553028]
 [-0.05814443 -0.05814443 -0.05814443 -0.05814443 -0.05814443 -0.25329482
   0.05753566 -0.29363763  0.12051992 -0.22521433  0.19996097 -0.13949987
   0.07072191 -0.13757545  0.08481933 -0.09927212 -0.1932659 ]
 [ 1.40780944  1.40780944  1.40780944  1.40780944  1.40780944  1.25811625
   1.29770553  0.98692773  1.01218185  0.77487752  0.81351898  0.73933451
   0.75025925  0.32267519  0.38085674 -0.02254856  0.18916576]]"
"[[-0.13931747 -0.13931747 -0.13931747 -0.13931747 -0.13931747 -0.2686696
  -0.3758828  -0.24315036 -0.37181865 -0.10416876 -0.21161535 -0.32550452
  -0.40182057 -0.31024659 -0.35232649 -0.3182662  -0.51217625]
 [ 0.04644411  0.04644411  0.04644411  0.04644411  0.04644411  0.27752384
  -0.017541    0.31699099 -0.09365342  0.2226015  -0.16085909  0.22524
   0.0353254   0.16872114 -0.06937664  0.16048717  0.06779286]
 [ 1.51524608  1.51524608  1.51524608  1.51524608  1.51524608  1.39216703
   1.36761782  1.05611134  1.07547426  0.85690256  0.87422166  0.82624748
   0.82288489  0.3805472   0.40289093 -0.01148119  0.04271891]]","[[ 0.9529881   0.9529881   0.9529881   0.9529881   0.9529881   0.96001226
   1.27592674  0.8451135   1.20133469  0.76914908  0.94586184  1.00684678
   1.23904347  0.95392039  1.24735905  0.96090873  1.28804736]
 [-0.73730059 -0.73730059 -0.73730059 -0.73730059 -0.73730059 -0.97209204
  -0.8170989  -0.8646909  -0.71188868 -0.62593253 -0.64063852 -0.92808145
  -0.90936778 -0.87825372 -0.91832971 -0.91666869 -0.97499465]
 [ 1.49277454  1.49277454  1.49277454  1.49277454  1.49277454  1.37188058
   1.37729327  1.14454112  1.12301669  1.01306097  1.01867503  0.82304951
   0.84199343  0.41092811  0.40303309 -0.02048984 -0.02132495]]","[[ 0.26623688  0.26623688  0.26623688  0.26623688  0.26623688  0.43213125
   0.12292429  0.51357848  0.00347876  0.41711958  0.05934921  0.36008704
   0.14055825  0.4225552   0.13743837  0.45271783  0.15230333]
 [ 0.23711942  0.23711942  0.23711942  0.23711942  0.23711942  0.48870067
   0.46229309  0.57638738  0.53539816  0.35544777  0.34981272  0.55124244
   0.54502878  0.46828491  0.54832162  0.5553912   0.5773989 ]
 [ 1.42785029  1.42785029  1.42785029  1.42785029  1.42785029  1.29833115
   1.30350958  1.01705277  1.02380878  0.90637665  0.8916605   0.77811528
   0.77304539  0.36228845  0.35016071 -0.0297839  -0.04402787]]","[[ 1.25835849  1.25835849  1.25835849  1.25835849  1.25835849  1.44611037
   1.53217975  1.42029422  1.62170363  1.32675051  1.59889054  1.41345719
   1.48946904  1.5043177   1.43392566  1.54925338  1.47223885]
 [ 0.01202989  0.01202989  0.01202989  0.01202989  0.01202989 -0.12620278
   0.18552113 -0.19853625  0.23852835 -0.1678506   0.30714048 -0.07718597
   0.16185178 -0.07442495  0.24336402 -0.09461485  0.34380187]
 [ 1.4273933   1.4273933   1.4273933   1.4273933   1.4273933   1.26280407
   1.28898095  0.99077783  1.01830052  0.7779941   0.76816819  0.72219935
   0.73282651  0.31574459  0.35827029 -0.03719679 -0.02864291]]"
"[[-0.05872693 -0.05872693 -0.05872693 -0.05872693 -0.05872693 -0.19382299
  -0.28187666 -0.08299726 -0.17051073  0.07464601  0.09564826 -0.28715811
  -0.32265123 -0.27353563 -0.23778937 -0.31668531 -0.1999966 ]
 [-0.05681847 -0.05681847 -0.05681847 -0.05681847 -0.05681847  0.17759924
  -0.15043931  0.17489807 -0.2281275  -0.01532619 -0.24967453  0.15019981
  -0.07486451  0.14094965 -0.17480245  0.13736929 -0.25951363]
 [ 1.50936516  1.50936516  1.50936516  1.50936516  1.50936516  1.36866921
   1.36371697  1.07182612  1.07947322  0.95409478  0.9394967   0.80713512
   0.79619479  0.36782877  0.37963767 -0.02365953 -0.04643829]]","[[ 0.9542069   0.9542069   0.9542069   0.9542069   0.9542069   0.96095924
   1.27428128  0.84699706  1.20466391  0.76925245  0.94030235  1.04110277
   1.24152941  0.96390888  1.23780813  0.96969568  1.26690904]
 [-0.7299646  -0.7299646  -0.7299646  -0.7299646  -0.7299646  -0.98033511
  -0.83351548 -0.87499766 -0.71995824 -0.6346981  -0.62141166 -0.98038083
  -0.91879924 -0.85764333 -0.93303842 -0.92018122 -0.99136932]
 [ 1.49617441  1.49617441  1.49617441  1.49617441  1.49617441  1.36923486
   1.37405534  1.13484348  1.12861985  1.01916881  1.0004401   0.87836281
   0.85949529  0.42016289  0.4046741  -0.01699218 -0.0194207 ]]","[[ 1.20151699  1.20151699  1.20151699  1.20151699  1.20151699  1.43255448
   1.36781067  1.57606948  1.50004186  1.46005791  1.43848675  1.41542775
   1.37424331  1.45905491  1.42501564  1.56361413  1.4647549 ]
 [ 0.18350823  0.18350823  0.18350823  0.18350823  0.18350823  0.07100634
   0.35428306  0.01735323  0.4633446  -0.07476102  0.49722942  0.09097475
   0.30240046  0.03488235  0.33422203 -0.02864511  0.34551456]
 [ 1.42674592  1.42674592  1.42674592  1.42674592  1.42674592  1.30015048
   1.27859395  1.03565717  1.00944119  0.79853254  0.77618095  0.75816949
   0.74851718  0.35088071  0.33561945 -0.02755667 -0.02808112]]","[[ 0.38721833  0.38721833  0.38721833  0.38721833  0.38721833  0.46023554
   0.13304418  0.49386942  0.01653785  0.48381632  0.18664598  0.34698981
   0.12677885  0.38212975  0.17555269  0.32986567  0.14960744]
 [ 0.19093302  0.19093302  0.19093302  0.19093302  0.19093302  0.45941559
   0.38383005  0.48474553  0.46183627  0.39451045  0.36168733  0.6148697
   0.57720992  0.50724861  0.43135066  0.55335184  0.57859367]
 [ 1.34097703  1.34097703  1.34097703  1.34097703  1.34097703  1.27601985
   1.25633716  0.96957952  0.96479824  0.84310232  0.78872227  0.75385238
   0.77630459  0.33263897  0.36905631 -0.053114   -0.03567629]]"
"[[ 0.05019996  0.05019996  0.05019996  0.05019996  0.05019996 -0.12563845
  -0.16234296  0.00701177  0.02652377  0.1585305   0.30162087 -0.27340699
  -0.26840209 -0.25092219 -0.18348556 -0.30011397 -0.19560608]
 [-0.24237079 -0.24237079 -0.24237079 -0.24237079 -0.24237079 -0.02869865
  -0.36527184 -0.03397979 -0.3635011  -0.30756452 -0.34140481 -0.01897375
  -0.27001184  0.02056673 -0.25565476  0.07583047 -0.25978605]
 [ 1.50698757  1.50698757  1.50698757  1.50698757  1.50698757  1.38884672
   1.35292175  1.12464937  1.11731777  1.08797288  0.97673667  0.85262358
   0.80045418  0.39883823  0.37227656 -0.00887004  0.03291654]]","[[ 0.94930965  0.94930965  0.94930965  0.94930965  0.94930965  0.94807087
   1.24317291  0.84321867  1.20930864  0.74882152  0.96558746  1.03076924
   1.25207167  0.96712453  1.24750907  0.95831161  1.26717624]
 [-0.73725259 -0.73725259 -0.73725259 -0.73725259 -0.73725259 -0.98109366
  -0.80075508 -0.87494311 -0.74115724 -0.62644416 -0.63459803 -0.95237276
  -0.89446017 -0.86406477 -0.93993686 -0.92023147 -0.98811488]
 [ 1.48543337  1.48543337  1.48543337  1.48543337  1.48543337  1.36411113
   1.37534291  1.13390233  1.11804601  1.0655871   1.02017128  0.83283063
   0.82635092  0.41927495  0.39405466 -0.01609208 -0.0308766 ]]","[[ 1.20417724  1.20417724  1.20417724  1.20417724  1.20417724  1.44629802
   1.37926205  1.51184818  1.4053607   1.42508401  1.32875399  1.45031585
   1.39513896  1.41850227  1.3944816   1.49172021  1.44907295]
 [ 0.23276777  0.23276777  0.23276777  0.23276777  0.23276777  0.14095886
   0.46293427  0.04762554  0.54766287  0.03391143  0.58482452  0.17465417
   0.37597489  0.11038293  0.37683456  0.06122606  0.34850831]
 [ 1.41369965  1.41369965  1.41369965  1.41369965  1.41369965  1.30400907
   1.27347997  1.0078798   0.99092801  0.75046216  0.75524413  0.69943954
   0.70876892  0.28107192  0.32269863 -0.03470724 -0.04173673]]","[[ 0.47686679  0.47686679  0.47686679  0.47686679  0.47686679  0.50106311
   0.18610343  0.5055706   0.12162638  0.56058475  0.28786684  0.28919201
   0.08758817  0.43447341  0.15511609  0.29000794  0.16842313]
 [ 0.11643999  0.11643999  0.11643999  0.11643999  0.11643999  0.39442593
   0.29553723  0.50516802  0.37435169  0.33135448  0.26502842  0.69875587
   0.61321582  0.50244285  0.32084919  0.54760203  0.47909983]
 [ 1.06990364  1.06990364  1.06990364  1.06990364  1.06990364  1.07536777
   1.0611959   0.76814189  0.76539789  0.56836004  0.58706554  0.69570637
   0.68962712  0.31853864  0.35145987 -0.04405962 -0.04968388]]"
"[[ 0.10267848  0.10267848  0.10267848  0.10267848  0.10267848 -0.10417644
  -0.09763466  0.0403055   0.03769351  0.29040793  0.27399999 -0.2510421
  -0.23583526 -0.26900894 -0.17727685 -0.31721246 -0.17911865]
 [-0.2951856  -0.2951856  -0.2951856  -0.2951856  -0.2951856  -0.09076023
  -0.44364715 -0.10867782 -0.47361984 -0.18109152 -0.36619833 -0.0959869
  -0.33266539 -0.01466751 -0.30495317  0.05079568 -0.26971636]
 [ 1.5237229   1.5237229   1.5237229   1.5237229   1.5237229   1.40676319
   1.34963209  1.14673265  1.08135584  1.00371472  0.98120308  0.86251725
   0.8056534   0.42378605  0.39416261  0.0077486   0.03101196]]","[[ 0.97150208  0.97150208  0.97150208  0.97150208  0.97150208  0.94652131
   1.27267529  0.88289317  1.22926187  0.80476742  0.99454149  0.99795544
   1.21293929  0.97458029  1.23659212  0.97170303  1.30786644]
 [-0.74951971 -0.74951971 -0.74951971 -0.74951971 -0.74951971 -0.99318893
  -0.84876662 -0.93375205 -0.75125885 -0.69848393 -0.65864887 -0.94893336
  -0.88552878 -0.85375313 -0.9220818  -0.92045862 -1.00299977]
 [ 1.49004632  1.49004632  1.49004632  1.49004632  1.49004632  1.38495623
   1.37353375  1.12830178  1.10401237  1.08873915  1.02970647  0.81801963
   0.83547183  0.43182358  0.40532215 -0.01165324  0.00694975]]","[[ 1.1933731   1.1933731   1.1933731   1.1933731   1.1933731   1.45603331
   1.36839558  1.50722006  1.39528172  1.4568986   1.31166359  1.45932317
   1.37562018  1.41481984  1.40752752  1.48264528  1.4555792 ]
 [ 0.2233013   0.2233013   0.2233013   0.2233013   0.2233013   0.14677489
   0.46402402  0.06064617  0.53307438  0.00253245  0.54061208  0.17141255
   0.37727754  0.12656095  0.36733448  0.06952881  0.3559983 ]
 [ 1.42638979  1.42638979  1.42638979  1.42638979  1.42638979  1.30512063
   1.27538626  1.01680246  0.98824668  0.82062222  0.74979085  0.72232648
   0.73567054  0.29339402  0.32131578 -0.02813693 -0.04097753]]","[[ 0.4563443   0.4563443   0.4563443   0.4563443   0.4563443   0.49571298
   0.16906345  0.56095414  0.14488138  0.47851109  0.31473864  0.28000935
   0.10022783  0.59765067  0.15676961  0.33263731  0.16979185]
 [ 0.11670507  0.11670507  0.11670507  0.11670507  0.11670507  0.39365129
   0.28511287  0.37619654  0.30548044  0.143192    0.13688674  0.63473206
   0.53395442  0.32345385  0.12641597  0.53446305  0.44369481]
 [ 0.8327065   0.8327065   0.8327065   0.8327065   0.8327065   0.80544784
   0.80775209  0.46682646  0.47379995  0.44408742  0.38926088  0.39540726
   0.39397108  0.26141641  0.30243427 -0.00097194 -0.00904445]]"
"[[ 0.98761223  0.98761223  0.98761223  0.98761223  0.98761223  0.97468815
   1.28251003  0.92246379  1.28882422  0.86175533  1.01761064  1.01225245
   1.23193214  0.98486219  1.24443972  0.9571903   1.26176751]
 [-0.75483758 -0.75483758 -0.75483758 -0.75483758 -0.75483758 -1.00902689
  -0.85547715 -1.01393007 -0.77148856 -0.75168591 -0.67321618 -0.93398918
  -0.88333864 -0.85936427 -0.92396611 -0.92170377 -1.00096372]
 [ 1.49850038  1.49850038  1.49850038  1.49850038  1.49850038  1.38471895
   1.39252477  1.10802595  1.11192098  1.09484896  1.10796573  0.82851348
   0.82079021  0.4325133   0.38825933  0.00589056 -0.02182011]]","[[ 0.11689697  0.11689697  0.11689697  0.11689697  0.11689697 -0.09598877
  -0.09479126  0.01644628  0.03881812  0.28143854  0.22695687 -0.25570566
  -0.23297388 -0.27661395 -0.18272244 -0.31157134 -0.17718762]
 [-0.30951274 -0.30951274 -0.30951274 -0.30951274 -0.30951274 -0.11625986
  -0.44105304 -0.10509083 -0.41178211 -0.19568005 -0.30705716 -0.0989658
  -0.3480133  -0.02092329 -0.29897478  0.04063305 -0.26047145]
 [ 1.52203255  1.52203255  1.52203255  1.52203255  1.52203255  1.40791883
   1.34585561  1.17932015  1.08388911  1.00531444  1.00020526  0.86922206
   0.80994031  0.41369432  0.38203007  0.01153709  0.02915737]]","[[ 1.1994506   1.1994506   1.1994506   1.1994506   1.1994506   1.44197445
   1.37110123  1.49015789  1.40442731  1.44425254  1.32068087  1.41397177
   1.37369587  1.41127656  1.38460798  1.42627713  1.36343329]
 [ 0.21790603  0.21790603  0.21790603  0.21790603  0.21790603  0.13455515
   0.45322652  0.04416599  0.52518241 -0.01332648  0.5440613   0.14351116
   0.38166796  0.12370302  0.3636308   0.08319029  0.38697133]
 [ 1.42329757  1.42329757  1.42329757  1.42329757  1.42329757  1.30105821
   1.28117216  1.0327369   0.9957816   0.81584604  0.75354155  0.69925658
   0.71841037  0.30333085  0.32601036  0.16145201  0.09765921]]","[[0.42530224 0.42530224 0.42530224 0.42530224 0.42530224 0.46665022
  0.14530262 0.54795164 0.16968821 0.51702966 0.36093277 0.32836564
  0.10549106 0.62856148 0.17394395 0.36729635 0.17116883]
 [0.1286182  0.1286182  0.1286182  0.1286182  0.1286182  0.41625643
  0.31840301 0.30089752 0.27269761 0.06150424 0.06959051 0.56764672
  0.49265384 0.10818321 0.06150423 0.51070645 0.4208847 ]
 [0.72959753 0.72959753 0.72959753 0.72959753 0.72959753 0.670597
  0.66140016 0.34391418 0.34012035 0.40136592 0.34351468 0.22629451
  0.2333368  0.21356193 0.21642627 0.00981702 0.01155887]]"
"[[ 1.01118526  1.01118526  1.01118526  1.01118526  1.01118526  0.98275081
   1.32420278  0.90790605  1.44085625  0.81352053  1.26444066  1.04638666
   1.26614675  0.971543    1.28068703  0.97681587  1.26996262]
 [-0.74577675 -0.74577675 -0.74577675 -0.74577675 -0.74577675 -0.99521664
  -0.88232001 -0.95675174 -0.83915442 -0.7191792  -0.72055382 -0.9454988
  -0.89410038 -0.86121404 -0.94653384 -0.91277344 -0.98839528]
 [ 1.49824262  1.49824262  1.49824262  1.49824262  1.49824262  1.36400989
   1.38408809  1.10979874  1.15466713  1.06387544  1.07434267  0.80302019
   0.79908133  0.42383273  0.37184903 -0.00484088 -0.03390487]]","[[ 0.11750407  0.11750407  0.11750407  0.11750407  0.11750407 -0.10792727
  -0.05245786  0.06508414  0.03740774  0.27685728  0.28721845 -0.24661667
  -0.25216388 -0.28840329 -0.18433531 -0.31873814 -0.17798015]
 [-0.30724046 -0.30724046 -0.30724046 -0.30724046 -0.30724046 -0.11689302
  -0.44571871 -0.12782828 -0.41753994 -0.19544723 -0.3734851  -0.11936299
  -0.35638801 -0.03046837 -0.29801219  0.0439583  -0.2587064 ]
 [ 1.51890803  1.51890803  1.51890803  1.51890803  1.51890803  1.40575266
   1.33627593  1.16904256  1.07548046  1.01275316  0.956226    0.85440199
   0.80993921  0.41642837  0.37613081 -0.00229309  0.0274381 ]]","[[ 1.18042539  1.18042539  1.18042539  1.18042539  1.18042539  1.4326028
   1.36834686  1.48482755  1.41389738  1.42310027  1.33443757  1.37955327
   1.36598118  1.40817794  1.3848423   1.52852961  1.46606738]
 [ 0.23016107  0.23016107  0.23016107  0.23016107  0.23016107  0.13032317
   0.45523748  0.03466947  0.51842858 -0.01972993  0.53494872  0.12515029
   0.37319472  0.12246344  0.35810923  0.0857682   0.36010031]
 [ 1.41014743  1.41014743  1.41014743  1.41014743  1.41014743  1.30223088
   1.27343667  1.03309152  0.99336699  0.81548745  0.7441714   0.69941618
   0.71611861  0.31473651  0.32945119  0.01977909  0.01554649]]","[[0.41628944 0.41628944 0.41628944 0.41628944 0.41628944 0.47549132
  0.15565544 0.55012119 0.16800183 0.51789769 0.3796267  0.31641146
  0.12098666 0.64435369 0.14294778 0.32872376 0.15868808]
 [0.14450287 0.14450287 0.14450287 0.14450287 0.14450287 0.41930157
  0.32792934 0.31375265 0.27588126 0.0667415  0.07407004 0.60753817
  0.51771731 0.30744348 0.0652852  0.5191979  0.42526111]
 [0.72943868 0.72943868 0.72943868 0.72943868 0.72943868 0.66779669
  0.65790611 0.35026316 0.34084689 0.40214281 0.3401595  0.23914748
  0.23171434 0.27728676 0.26537986 0.01486236 0.01556834]]"
