red,green,blue,purple,,
"[[ 0.18512255  0.18512255  0.18512255  0.18512255  0.18512255 -0.198386
   0.0916187  -0.32646042  0.17605705 -0.11213176  0.32648165 -0.29941999
  -0.18716389 -0.21429155 -0.0262423  -0.15732367 -0.01324245]
 [-0.45441144 -0.45441144 -0.45441144 -0.45441144 -0.45441144 -0.52667873
  -0.70271492 -0.62683158 -0.86375779 -0.60755831 -0.74489311 -0.8647259
  -1.03552387 -0.78847483 -1.01302331 -0.76432306 -1.04141028]
 [ 1.13440808  1.13440808  1.13440808  1.13440808  1.13440808  1.05824665
   1.1592743   0.80669267  0.89410352  0.75698665  0.79920708  0.74826444
   0.78311613  0.33811503  0.36210832  0.02696425  0.14054336]]","[[ 0.45431305  0.45431305  0.45431305  0.45431305  0.45431305  0.45280366
   0.19412464  0.48409992  0.06091535  0.58604523  0.14295858  0.3303824
   0.13768664  0.44335272  0.17607714  0.39139322  0.16097567]
 [ 0.15386454  0.15386454  0.15386454  0.15386454  0.15386454  0.42550702
   0.26717749  0.61717674  0.29293427  0.52516243  0.19961141  0.54333943
   0.46351581  0.46699181  0.35590024  0.54887541  0.46681531]
 [ 1.38588262  1.38588262  1.38588262  1.38588262  1.38588262  1.24640551
   1.26801363  0.99661752  0.99414529  0.80786267  0.86025889  0.78515154
   0.78174747  0.39243002  0.36085752 -0.03730601 -0.04406826]]","[[ 2.17682425  2.17682425  2.17682425  2.17682425  2.17682425  2.28749777
   2.40036208  2.10786589  2.31559984  2.24695251  2.02211491  2.24226281
   2.12804289  2.22960909  2.18002582  1.99740793  2.13937684]
 [-0.4721572  -0.4721572  -0.4721572  -0.4721572  -0.4721572  -0.72665938
  -0.30641367 -0.98470191 -0.21367511 -0.82040522 -0.42185476 -0.68554635
  -0.49584036 -0.6829052  -0.51756676 -0.79985553 -0.5664234 ]
 [ 1.55068284  1.55068284  1.55068284  1.55068284  1.55068284  1.38713703
   1.38314791  1.16794732  1.15062029  0.98279452  0.92899052  0.83360187
   0.81372518  0.39037111  0.37999169  0.07092813  0.04846382]]","[[ 1.23569898  1.23569898  1.23569898  1.23569898  1.23569898  1.50869808
   1.27212597  1.59993935  1.2766696   1.54616406  1.00426392  1.48002927
   1.31964624  1.42685096  1.25537199  1.47112395  1.28991892]
 [-0.70506701 -0.70506701 -0.70506701 -0.70506701 -0.70506701 -0.64018133
  -0.39244748 -0.58007501 -0.26653293 -0.67286948 -0.45073489 -0.52524673
  -0.37123773 -0.61309193 -0.27513749 -0.546104   -0.12061813]
 [ 1.4184431   1.4184431   1.4184431   1.4184431   1.4184431   1.33797637
   1.37529387  1.0428227   1.11740421  0.78314288  0.98842379  0.80802441
   0.82794527  0.40727032  0.42393755 -0.02948885  0.0222796 ]]","[[ 0.12798974  0.12798974  0.12798974  0.12798974  0.12798974 -0.20435508
   0.01742285 -0.32745279 -0.03127867 -0.10111351 -0.01707772 -0.33307102
  -0.20047474 -0.32985795 -0.19859346 -0.36259398 -0.23620848]
 [-0.45636434 -0.45636434 -0.45636434 -0.45636434 -0.45636434 -0.53106248
  -0.67846592 -0.58900318 -0.58254707 -0.57786571 -0.58490193 -0.67187972
  -0.69602568 -0.52191499 -0.53928325 -0.50294853 -0.54364918]
 [ 1.073096    1.073096    1.073096    1.073096    1.073096    1.01244617
   1.11331177  0.81474214  0.94797077  0.76360371  0.80811636  0.7871719
   0.83295157  0.70365694  0.76727306  0.52308822  0.58892654]]",
"[[ 0.18896987  0.18896987  0.18896987  0.18896987  0.18896987 -0.13109308
   0.04843391 -0.28244722  0.0572078  -0.0608199   0.0398638  -0.28355114
  -0.21328231 -0.18004867 -0.07195955 -0.11366864 -0.08086952]
 [-0.6107431  -0.6107431  -0.6107431  -0.6107431  -0.6107431  -0.57936563
  -0.84694965 -0.6337066  -0.93878628 -0.62652156 -0.80971762 -0.83781262
  -0.99915189 -0.77877268 -1.04820757 -0.67225741 -1.14704867]
 [ 1.13329443  1.13329443  1.13329443  1.13329443  1.13329443  1.07013848
   1.14613629  0.81102311  0.87115664  0.75769296  0.76251481  0.68062684
   0.735355    0.32007872  0.3218328   0.02682463 -0.05640021]]","[[ 0.63969536  0.63969536  0.63969536  0.63969536  0.63969536  0.59289113
   0.36924895  0.50552228  0.24994948  0.56794427  0.50997259  0.46499226
   0.30085808  0.56391043  0.25004228  0.58784484  0.16747865]
 [ 0.22981323  0.22981323  0.22981323  0.22981323  0.22981323  0.50858485
   0.27191619  0.67898027  0.26079056  0.64951083  0.20554574  0.51856579
   0.39444037  0.49676139  0.41860416  0.50353814  0.48401769]
 [ 1.43603006  1.43603006  1.43603006  1.43603006  1.43603006  1.28553551
   1.28921034  1.04858131  1.01830175  0.83204772  0.90863932  0.76023961
   0.77338156  0.35875396  0.35168839 -0.07189037 -0.05433237]]","[[ 1.28401398  1.28401398  1.28401398  1.28401398  1.28401398  1.61098409
   1.27575118  1.6345748   1.18551     1.5254049   1.01454195  1.59663642
   1.31482519  1.65656862  1.47720024  1.50739941  1.31829453]
 [-0.84162428 -0.84162428 -0.84162428 -0.84162428 -0.84162428 -0.73425984
  -0.54436431 -0.6944732  -0.40399989 -0.76219711 -0.46847909 -0.60189928
  -0.44191519 -0.63551488 -0.4009289  -0.53514291 -0.41344533]
 [ 1.4192801   1.4192801   1.4192801   1.4192801   1.4192801   1.37973085
   1.42078093  1.06048692  1.1349371   0.87792282  0.99270458  0.82519953
   0.89905802  0.48326941  0.4314826   0.02358727  0.03824095]]","[[ 1.87575478  1.87575478  1.87575478  1.87575478  1.87575478  2.11633408
   2.11362881  2.13468049  2.23810396  2.08776794  2.15547555  2.04886339
   2.07270297  2.13452406  2.096508    2.24171026  2.22132351]
 [-0.56611358 -0.56611358 -0.56611358 -0.56611358 -0.56611358 -0.79984397
  -0.47285669 -0.96519232 -0.27920502 -0.86672124 -0.37163143 -0.68625779
  -0.47123433 -0.70462795 -0.40554496 -0.68419501 -0.41652414]
 [ 1.5136051   1.5136051   1.5136051   1.5136051   1.5136051   1.40038557
   1.39395781  1.15354732  1.20213785  0.92271115  0.96792061  0.79698555
   0.8218195   0.36671136  0.43283852  0.28123643  0.28601205]]",,
"[[ 1.15641531  1.15641531  1.15641531  1.15641531  1.15641531  1.54059043
   1.25307453  1.86454104  1.22228008  1.52593702  1.07690342  1.56896306
   1.31438258  1.47445048  1.28555397  1.48979978  1.28943071]
 [-0.82926576 -0.82926576 -0.82926576 -0.82926576 -0.82926576 -0.89593917
  -0.63388789 -0.92597271 -0.47711495 -0.93098363 -0.60015773 -0.7704853
  -0.64642774 -0.67061461 -0.73289099 -0.56468913 -0.81163582]
 [ 1.45163698  1.45163698  1.45163698  1.45163698  1.45163698  1.36910785
   1.38021563  1.07880654  1.12863728  0.82230607  0.94886619  0.79996003
   0.81741484  0.40475552  0.41013289  0.02690018 -0.00592238]]","[[ 0.26187871  0.26187871  0.26187871  0.26187871  0.26187871 -0.02959788
   0.08304607 -0.21137612  0.03558749  0.01002263  0.0810227  -0.28799043
  -0.23302853 -0.22565479 -0.06515174 -0.15266004 -0.08658288]
 [-0.76747845 -0.76747845 -0.76747845 -0.76747845 -0.76747845 -0.73350555
  -1.01813883 -0.7568311  -1.18384962 -0.77521573 -1.00070178 -0.95752938
  -1.17060088 -0.85901864 -1.13217746 -0.76681698 -1.11103449]
 [ 1.14121626  1.14121626  1.14121626  1.14121626  1.14121626  1.06554221
   1.09464725  0.81000057  0.83840339  0.74419152  0.75449534  0.73133717
   0.76019021  0.31920429  0.33649941  0.08520736 -0.01288207]]","[[ 0.80169711  0.80169711  0.80169711  0.80169711  0.80169711  0.77270852
   0.54290326  0.74402613  0.42763152  0.88092899  0.55392206  0.63528963
   0.50778239  0.64908986  0.57142949  0.57537168  0.41864255]
 [ 0.2215083   0.2215083   0.2215083   0.2215083   0.2215083   0.51503228
   0.27901222  0.65406657  0.28290969  0.56760143  0.18317224  0.50710705
   0.34347902  0.48050832  0.25274004  0.51996187  0.3863674 ]
 [ 1.47372034  1.47372034  1.47372034  1.47372034  1.47372034  1.33302694
   1.32786881  1.05481712  1.05165976  0.83648869  0.91205244  0.79380946
   0.80626538  0.37536061  0.40770835 -0.03935153  0.02419068]]",,,
"[[ 0.34815187  0.34815187  0.34815187  0.34815187  0.34815187  0.039948
   0.08346804 -0.08273383 -0.01143804  0.12109085  0.11361187 -0.21974172
  -0.1692799  -0.15182809 -0.02111237 -0.11150572 -0.09764693]
 [-1.04932124 -1.04932124 -1.04932124 -1.04932124 -1.04932124 -0.88500622
  -1.21873005 -0.84574495 -1.33761977 -0.88364715 -1.16354103 -1.03177823
  -1.23290646 -0.90713115 -1.18063461 -0.80315976 -1.15808136]
 [ 1.19926893  1.19926893  1.19926893  1.19926893  1.19926893  1.15944738
   1.18108147  0.88449913  0.90702071  0.79315041  0.83992448  0.72490174
   0.72118187  0.34035197  0.33990195  0.08595772 -0.03647105]]","[[ 1.07860214  1.07860214  1.07860214  1.07860214  1.07860214  1.29821015
   1.24895893  1.33331559  1.23303908  1.27611004  1.00674658  1.38022907
   1.2634882   1.30215384  1.23637041  1.49533822  1.32726609]
 [-0.7771768  -0.7771768  -0.7771768  -0.7771768  -0.7771768  -0.96811853
  -0.66261405 -1.02836694 -0.53905798 -1.09721507 -0.53412086 -0.93064712
  -0.75632513 -1.0065011  -0.80772556 -0.78671304 -0.83818345]
 [ 1.51158377  1.51158377  1.51158377  1.51158377  1.51158377  1.35452801
   1.37235034  1.04787076  1.10345766  0.82307271  0.96664224  0.80952593
   0.80748292  0.43530515  0.40713603  0.1027812  -0.01292201]]","[[ 0.90538885  0.90538885  0.90538885  0.90538885  0.90538885  0.90418258
   0.67672853  0.94270861  0.58225993  1.10606236  0.8243557   0.7884227
   0.65682159  0.73076505  0.85047836  0.60497011  0.89395965]
 [ 0.08038014  0.08038014  0.08038014  0.08038014  0.08038014  0.40840436
   0.13345334  0.49365554  0.15775417  0.32902658  0.04895904  0.40330876
   0.23320284  0.4368154   0.16767965  0.50422656  0.11428233]
 [ 1.44672114  1.44672114  1.44672114  1.44672114  1.44672114  1.32745783
   1.2973245   1.03248545  1.0234352   0.91929789  0.91954757  0.76388158
   0.7772799   0.35162672  0.37092963 -0.03985004 -0.05837412]]",,,
"[[ 0.28867914  0.28867914  0.28867914  0.28867914  0.28867914  0.03983046
   0.04391588  0.1112375   0.03322103  0.32010648  0.20652193 -0.0289489
  -0.08096747  0.10789805 -0.01356658  0.09005035  0.01377867]
 [-1.08351297 -1.08351297 -1.08351297 -1.08351297 -1.08351297 -0.99933802
  -1.33665867 -0.89900197 -1.38589268 -0.84743972 -1.32150147 -1.07777366
  -1.26907443 -1.03151354 -1.19988069 -0.99421015 -1.07192252]
 [ 1.36079777  1.36079777  1.36079777  1.36079777  1.36079777  1.27141087
   1.27295048  0.9989033   1.01762374  0.83288165  0.86393913  0.76222599
   0.75419054  0.37067175  0.3589331   0.08457456  0.13849229]]","[[ 1.12293272  1.12293272  1.12293272  1.12293272  1.12293272  1.19096297
   1.31436946  1.19323854  1.38383127  1.07591348  1.18511997  1.20377518
   1.26089171  1.13409792  1.21716572  1.17754417  1.29961457]
 [-0.78910163 -0.78910163 -0.78910163 -0.78910163 -0.78910163 -1.11911317
  -0.79835594 -1.20030167 -0.7396391  -1.19009533 -0.62672962 -1.07662077
  -0.84844826 -1.13964132 -0.85007818 -1.23939112 -0.82993635]
 [ 1.50388124  1.50388124  1.50388124  1.50388124  1.50388124  1.36417849
   1.36160973  1.05989378  1.08930631  0.83435213  0.92640572  0.79990258
   0.82499264  0.40211441  0.39809812 -0.01821142 -0.02367196]]","[[ 1.02062933  1.02062933  1.02062933  1.02062933  1.02062933  1.05317356
   0.82808772  1.06507077  0.76552508  1.23590749  0.96617778  1.0376832
   0.90683063  1.13626532  0.96441852  0.91518571  0.94980235]
 [-0.1032884  -0.1032884  -0.1032884  -0.1032884  -0.1032884   0.20527748
  -0.03998324  0.32504256 -0.04234705  0.17831741 -0.15135473  0.18324496
   0.0367486   0.15333092  0.03463412  0.29961787  0.11099724]
 [ 1.46364177  1.46364177  1.46364177  1.46364177  1.46364177  1.34750452
   1.3042346   1.06934385  1.00558238  0.90374405  0.91424605  0.79468795
   0.78729137  0.40001198  0.3747347   0.08841219 -0.05133956]]","[[ 1.86702572  1.86702572  1.86702572  1.86702572  1.86702572  1.91653035
   2.16572515  1.88423714  2.35812841  1.83719168  2.24356591  1.97682346
   2.10896646  1.93754676  2.10716799  1.84776614  2.01790908]
 [ 0.04542489  0.04542489  0.04542489  0.04542489  0.04542489 -0.24267026
  -0.01835775 -0.40626967  0.0248582  -0.2735908   0.01946578 -0.21186544
  -0.07016313 -0.04815414 -0.17494738  0.04489663 -0.26124889]
 [ 1.51071051  1.51071051  1.51071051  1.51071051  1.51071051  1.3789432
   1.37929508  1.14526449  1.16249067  0.94612923  0.93460895  0.80821555
   0.82932547  0.40898572  0.37299214  0.05880026  0.13356121]]",,
"[[ 0.42280199  0.42280199  0.42280199  0.42280199  0.42280199  0.20206529
   0.15452235  0.18129174  0.05328036  0.42013683  0.252264    0.16393054
   0.10383388  0.22925528  0.07709157  0.16908476  0.01804434]
 [-1.15131235 -1.15131235 -1.15131235 -1.15131235 -1.15131235 -1.0475598
  -1.35546692 -0.97556162 -1.41254976 -1.00479975 -1.39660625 -1.10444612
  -1.29853868 -1.12497179 -1.2510869  -1.13005855 -1.14012538]
 [ 1.41763428  1.41763428  1.41763428  1.41763428  1.41763428  1.27602887
   1.2942666   0.97079596  1.05008606  0.84391747  0.95902526  0.74750454
   0.76291284  0.351476    0.34900645  0.11520837  0.15957307]]","[[ 1.12279313  1.12279313  1.12279313  1.12279313  1.12279313  1.11704338
   1.33944604  1.0662599   1.45417145  0.98140995  1.40026158  1.20381518
   1.30868157  1.13903547  1.26211318  1.17678658  1.30555497]
 [-0.92625367 -0.92625367 -0.92625367 -0.92625367 -0.92625367 -1.25985673
  -1.00759788 -1.32636979 -0.98162378 -1.24055621 -0.83909783 -1.21645892
  -1.02672296 -1.22212079 -0.978854   -1.26670104 -0.91127519]
 [ 1.48672612  1.48672612  1.48672612  1.48672612  1.48672612  1.35618355
   1.37634141  1.05371717  1.11455466  0.80437187  0.94307894  0.81008471
   0.82564076  0.39913383  0.41333649 -0.04084405 -0.0199263 ]]","[[ 1.12468923  1.12468923  1.12468923  1.12468923  1.12468923  1.33081572
   0.98606165  1.32131614  0.93003993  1.41644705  1.093362    1.25693453
   1.06743785  1.3613485   1.02949104  1.46595287  0.96359009]
 [-0.30173149 -0.30173149 -0.30173149 -0.30173149 -0.30173149 -0.05302807
  -0.14553982  0.12588011 -0.11350892 -0.06391637 -0.30495313 -0.0075753
  -0.09835218 -0.18607862 -0.06139826 -0.25960339  0.09398043]
 [ 1.43878101  1.43878101  1.43878101  1.43878101  1.43878101  1.31147771
   1.28509999  1.05975251  0.98627575  0.8847655   0.92760153  0.74791794
   0.75928113  0.35603968  0.3640368  -0.0696678  -0.01801773]]","[[ 1.6990343   1.6990343   1.6990343   1.6990343   1.6990343   1.73271651
   1.71422687  1.71248422  1.82679163  1.6903151   1.87918819  1.86407844
   1.79557394  1.81842888  1.87294718  1.90142531  1.83217848]
 [ 0.2768287   0.2768287   0.2768287   0.2768287   0.2768287   0.01104112
   0.20230468 -0.17053174  0.17681637  0.00755694  0.20880349  0.01482837
   0.18015617  0.10930935  0.10267563  0.1783412   0.0650992 ]
 [ 1.49276772  1.49276772  1.49276772  1.49276772  1.49276772  1.35977378
   1.35708854  1.13388905  1.11292506  0.93206127  0.89905251  0.8047929
   0.82124874  0.41885607  0.4263571  -0.02284826  0.41022626]]",,
"[[ 0.58069372  0.58069372  0.58069372  0.58069372  0.58069372  0.40161748
   0.28439532  0.38385861  0.17987809  0.56217436  0.39920473  0.34419017
   0.278785    0.34961675  0.40615733  0.3103186   0.36440048]
 [-1.29679519 -1.29679519 -1.29679519 -1.29679519 -1.29679519 -1.10271871
  -1.40612117 -1.06043514 -1.45903292 -1.1878138  -1.44900966 -1.20122243
  -1.39567281 -1.20943145 -1.50400275 -1.19081702 -1.41529156]
 [ 1.41335937  1.41335937  1.41335937  1.41335937  1.41335937  1.27210419
   1.31469996  0.97288989  1.06579473  0.91921465  0.98729531  0.76292767
   0.76925467  0.36134513  0.41389928  0.09236579  0.11942041]]","[[ 1.12303389  1.12303389  1.12303389  1.12303389  1.12303389  1.11371791
   1.38711247  1.09403058  1.51821582  1.05925559  1.44872666  1.1884515
   1.38381911  1.17591254  1.37274218  1.22699226  1.39542103]
 [-1.0356527  -1.0356527  -1.0356527  -1.0356527  -1.0356527  -1.32554463
  -1.12497193 -1.39334609 -1.12864123 -1.36337025 -0.97837179 -1.26634511
  -1.12823867 -1.2372733  -1.1022186  -1.27084901 -0.99325537]
 [ 1.48176431  1.48176431  1.48176431  1.48176431  1.48176431  1.36516555
   1.39174844  1.06064799  1.13133401  0.79576866  0.95142326  0.80495751
   0.83360811  0.40468465  0.42503456 -0.00859175  0.08334491]]","[[ 1.25329986  1.25329986  1.25329986  1.25329986  1.25329986  1.49348963
   1.15805786  1.58975486  1.11913556  1.47328379  1.20919362  1.46342912
   1.25036642  1.44984609  1.24724423  1.44587578  1.18906716]
 [-0.48866186 -0.48866186 -0.48866186 -0.48866186 -0.48866186 -0.28477001
  -0.25033882 -0.25247326 -0.18293127 -0.40648205 -0.42702914 -0.2827692
  -0.22820103 -0.33043429 -0.35854406 -0.27814008 -0.133826  ]
 [ 1.44511925  1.44511925  1.44511925  1.44511925  1.44511925  1.32655826
   1.31834974  1.03905193  1.0152893   0.96717487  0.97731809  0.77776077
   0.7870114   0.36749198  0.38468625 -0.02163644  0.04657232]]","[[ 1.58026351  1.58026351  1.58026351  1.58026351  1.58026351  1.64631968
   1.67771146  1.65881341  1.95044352  1.62041167  1.93367485  1.76416518
   1.78206953  1.79804578  1.84593808  1.81471586  1.79123288]
 [ 0.44143909  0.44143909  0.44143909  0.44143909  0.44143909  0.14480343
   0.38256709 -0.04544742  0.41911261  0.09906699  0.44201982  0.17591858
   0.37641049  0.2015152   0.44557016  0.20300936  0.46008187]
 [ 1.51247171  1.51247171  1.51247171  1.51247171  1.51247171  1.3666615
   1.36032831  1.13508139  1.16153921  0.92106702  0.92934235  0.77477231
   0.79962278  0.34611847  0.40011521  0.04830205  0.08301451]]",,
"[[ 1.4679532   1.4679532   1.4679532   1.4679532   1.4679532   1.57669048
   1.68474181  1.59127918  1.64858416  1.55862961  1.69796503  1.61058818
   1.72181594  1.6509967   1.73657558  1.85663145  1.70197537]
 [ 0.51928463  0.51928463  0.51928463  0.51928463  0.51928463  0.31289491
   0.62647239  0.16046939  0.693407    0.26646261  0.68154184  0.35694923
   0.55894396  0.32714075  0.59801103  0.22751603  0.61488575]
 [ 1.49163726  1.49163726  1.49163726  1.49163726  1.49163726  1.37695675
   1.36063334  1.13758739  1.13867687  0.91875608  0.92713637  0.80215582
   0.81044176  0.4077836   0.36354624  0.0445549  -0.01365538]]","[[ 0.75416647  0.75416647  0.75416647  0.75416647  0.75416647  0.60759775
   0.47718434  0.60456853  0.43936768  0.78386002  0.76072582  0.54240751
   0.47624166  0.5147553   0.61294557  0.32801802  0.67641946]
 [-1.4247144  -1.4247144  -1.4247144  -1.4247144  -1.4247144  -1.32000352
  -1.58784585 -1.24718405 -1.57423073 -1.39884562 -1.54892103 -1.37801713
  -1.56903292 -1.3214664  -1.62350548 -1.22973895 -1.70972651]
 [ 1.40543195  1.40543195  1.40543195  1.40543195  1.40543195  1.25718322
   1.27730746  0.97103852  1.01751723  0.97305581  0.95613877  0.75008209
   0.73883321  0.35123571  0.35237298  0.02694609 -0.01935301]]","[[ 1.27217351  1.27217351  1.27217351  1.27217351  1.27217351  1.48518595
   1.25918895  1.56548212  1.19485988  1.38729575  1.26942407  1.34418199
   1.30107573  1.47837242  1.28278561  1.46229119  1.30854312]
 [-0.5503222  -0.5503222  -0.5503222  -0.5503222  -0.5503222  -0.39424382
  -0.26966459 -0.43781003 -0.33906033 -0.6266616  -0.58715766 -0.35337708
  -0.290311   -0.35121524 -0.29338926 -0.33122947 -0.33345351]
 [ 1.46719195  1.46719195  1.46719195  1.46719195  1.46719195  1.34132341
   1.32932234  1.04164389  1.03999901  1.03330555  1.06178906  0.80139859
   0.8042999   0.35611844  0.39881044 -0.00876029 -0.02159607]]","[[ 1.31208819e+00  1.31208819e+00  1.31208819e+00  1.31208819e+00
   1.31208819e+00  1.26376667e+00  1.51681931e+00  1.21882265e+00
   1.61974356e+00  1.17381785e+00  1.50147830e+00  1.28296962e+00
   1.49658759e+00  1.19050385e+00  1.50123994e+00  1.24992929e+00
   1.55026100e+00]
 [-1.22877165e+00 -1.22877165e+00 -1.22877165e+00 -1.22877165e+00
  -1.22877165e+00 -1.38136009e+00 -1.16989743e+00 -1.45353289e+00
  -1.16645965e+00 -1.44601920e+00 -1.01569648e+00 -1.30609931e+00
  -1.19764856e+00 -1.22466262e+00 -1.24996323e+00 -1.28306823e+00
  -1.36830208e+00]
 [ 1.32546766e+00  1.32546766e+00  1.32546766e+00  1.32546766e+00
   1.32546766e+00  1.24575142e+00  1.35285241e+00  1.00870393e+00
   1.08027513e+00  7.99080552e-01  9.20772915e-01  7.77798651e-01
   7.86745598e-01  4.33780136e-01  3.76554664e-01  6.16439538e-04
  -2.29642496e-02]]",,
"[[ 1.29975826  1.29975826  1.29975826  1.29975826  1.29975826  1.53811306
   1.25178611  1.5891144   1.17305927  1.45160627  1.1830141   1.49609486
   1.29092265  1.45558951  1.30969954  1.48712518  1.32811303]
 [-0.54431146 -0.54431146 -0.54431146 -0.54431146 -0.54431146 -0.44447676
  -0.30450148 -0.53360368 -0.218099   -0.77136457 -0.46811614 -0.40705674
  -0.2851889  -0.36966912 -0.31647557 -0.30225164 -0.29802574]
 [ 1.46554313  1.46554313  1.46554313  1.46554313  1.46554313  1.32606133
   1.3260647   1.03905699  1.04771746  1.00604971  0.99110357  0.77400565
   0.78896598  0.36313743  0.36727072 -0.03957267 -0.04772628]]","[[ 1.30697006  1.30697006  1.30697006  1.30697006  1.30697006  1.32563501
   1.57012609  1.2396024   1.65774589  1.20585382  1.48811537  1.36414137
   1.52586568  1.23808113  1.51861851  1.24018155  1.52212637]
 [-1.11760328 -1.11760328 -1.11760328 -1.11760328 -1.11760328 -1.41450145
  -1.17720096 -1.45223332 -1.0751933  -1.29582058 -0.86291194 -1.34910064
  -1.21005143 -1.26111582 -1.26230099 -1.27797086 -1.33422646]
 [ 1.476438    1.476438    1.476438    1.476438    1.476438    1.35673538
   1.36416725  1.06160773  1.12468855  0.88508697  1.09898135  0.82443911
   0.82250466  0.44308417  0.39904124  0.01864404  0.00336003]]","[[ 1.32116943e+00  1.32116943e+00  1.32116943e+00  1.32116943e+00
   1.32116943e+00  1.48288991e+00  1.56381571e+00  1.57355929e+00
   1.59673749e+00  1.46773300e+00  1.60263440e+00  1.44093291e+00
   1.53955489e+00  1.35900125e+00  1.59150694e+00  1.49231114e+00
   1.67417287e+00]
 [ 5.98634169e-01  5.98634169e-01  5.98634169e-01  5.98634169e-01
   5.98634169e-01  4.60405605e-01  8.04458453e-01  3.10625966e-01
   9.17463871e-01  3.90155581e-01  8.64913704e-01  5.35591449e-01
   7.38440480e-01  5.66120228e-01  6.80502892e-01  5.74936834e-01
   6.23949996e-01]
 [ 1.50652687e+00  1.50652687e+00  1.50652687e+00  1.50652687e+00
   1.50652687e+00  1.37924072e+00  1.37123773e+00  1.14634703e+00
   1.14220795e+00  9.12318389e-01  9.48334827e-01  8.00368029e-01
   8.02956903e-01  4.19569964e-01  3.95989796e-01 -3.21821352e-04
  -3.67945431e-04]]","[[ 1.00445004  1.00445004  1.00445004  1.00445004  1.00445004  0.81484277
   0.72247336  0.79168891  0.50669623  1.00300935  0.90788258  0.81625989
   0.69317308  0.97786278  0.75076294  0.77550711  0.7388201 ]
 [-1.66705513 -1.66705513 -1.66705513 -1.66705513 -1.66705513 -1.53227918
  -1.69673407 -1.45140989 -1.62976959 -1.62653469 -1.60048598 -1.58707015
  -1.71766773 -1.62177367 -1.75608427 -1.63228394 -1.74553548]
 [ 1.42905651  1.42905651  1.42905651  1.42905651  1.42905651  1.3058366
   1.31565791  1.03123304  1.10452601  1.01017735  1.01254493  0.78789329
   0.78035802  0.42904823  0.34592311  0.04742383 -0.02673518]]",,
"[[ 1.28023036  1.28023036  1.28023036  1.28023036  1.28023036  1.31219171
   1.55070401  1.22335583  1.61853155  1.17098916  1.38804492  1.34113617
   1.50748744  1.1978093   1.47804692  1.20636274  1.53598455]
 [-1.14231604 -1.14231604 -1.14231604 -1.14231604 -1.14231604 -1.39672829
  -1.16780065 -1.36596772 -1.0223531  -1.13751119 -0.88795699 -1.34951696
  -1.19732124 -1.2579529  -1.23516308 -1.29476005 -1.35883838]
 [ 1.48383447  1.48383447  1.48383447  1.48383447  1.48383447  1.35602567
   1.34918616  1.08051507  1.12074564  0.98823927  1.13747434  0.8056709
   0.81049206  0.45513026  0.39059185  0.03175012 -0.02377716]]","[[ 1.27136921  1.27136921  1.27136921  1.27136921  1.27136921  1.5570958
   1.24104047  1.52392955  1.22950922  1.42344241  1.19534687  1.53495676
   1.29201951  1.46228614  1.30756748  1.49628136  1.34942273]
 [-0.50526564 -0.50526564 -0.50526564 -0.50526564 -0.50526564 -0.45811904
  -0.26881791 -0.58299844 -0.17315234 -0.81517522 -0.41275673 -0.39480194
  -0.27123897 -0.37634064 -0.32041867 -0.30779236 -0.29825224]
 [ 1.45024267  1.45024267  1.45024267  1.45024267  1.45024267  1.32423836
   1.33759016  1.04358227  1.06153485  1.04404241  0.96325358  0.7440914
   0.78159525  0.36581995  0.37061681 -0.04642483 -0.05611558]]","[[ 1.06341352  1.06341352  1.06341352  1.06341352  1.06341352  1.22128086
   1.27950531  1.33660349  1.40087801  1.18716138  1.32370969  1.20831226
   1.29242543  1.17892297  1.36916896  1.14906548  1.60506068]
 [ 0.58102067  0.58102067  0.58102067  0.58102067  0.58102067  0.51573745
   0.84916432  0.36333439  0.99744697  0.44988264  0.94410053  0.62523831
   0.81202467  0.64941705  0.76415093  0.69528954  0.68229872]
 [ 1.47786772  1.47786772  1.47786772  1.47786772  1.47786772  1.34172217
   1.37367567  1.09964884  1.16497811  0.99989197  0.92958361  0.76693125
   0.7972002   0.37200612  0.35861107 -0.02096977  0.02879658]]","[[ 1.21818771  1.21818771  1.21818771  1.21818771  1.21818771  1.10805733
   0.95802437  1.06972334  0.79702626  1.21413812  1.03271429  1.06733529
   0.95827726  1.17491658  0.93613887  1.22098357  0.71769316]
 [-1.6878638  -1.6878638  -1.6878638  -1.6878638  -1.6878638  -1.60562175
  -1.83424747 -1.54042491 -1.75612216 -1.74653524 -1.75563627 -1.68664575
  -1.85633489 -1.78294315 -1.83004614 -1.85011099 -1.74472708]
 [ 1.44440591  1.44440591  1.44440591  1.44440591  1.44440591  1.25674346
   1.29213415  0.9802783   1.06548429  0.9183078   0.96908137  0.72863764
   0.71463419  0.32889609  0.3583871  -0.06947198  0.05278265]]",,
